,original_user_link,original_context,original_time
25,https://weibo.com/xiaozhan1,"给29：
战，希望你在未来的一岁里，依然能快乐自在地生活，永远看得见阳光。对待任何事情都能保持炙热，坚持下去！甩开烦恼，珍惜当下。谢谢爸爸妈妈24h避风港，要更加努力，成为他们的依靠。

给29岁的我，也给你们。愿我们都能成为最好的自己！平安喜乐，迎风奔跑吧～",10月5日 09:53
26,https://weibo.com/u/5735157117,"肖战超话🎂#肖战1005生日快乐#

【#肖战1005生日乐园#】挚爱DAYTOY电影院

现在是北京时间2020年10月05日20时20分，
在这个充满爱意的时刻，让我们一起进入“挚爱DAYTOY电影院”，于时光放映机中，品味属于肖战的独特魅力，观看一个暖心温情的视频，一同聆听来自世界各地的小飞侠们的心声。
L肖战影音会官微的微博视频

寻常的字眼因真爱而组成情书，
散落的光点因信念而汇聚力量。
热爱不仅可以抵挡这漫长的岁月，
亦可跨越陆地与海洋，与你相见。
以爱为名，无惧山遥路远。
天南地北，我们为你而来。
肖战，生日快乐！
@X玖少年团肖战DAYTOY",10月5日 20:20
27,https://weibo.com/234390584,"爸妈的陪伴，朋友的祝福，大家的爱意。
肖战啊，这个生日你一定很快乐",10月5日 23:02
28,https://weibo.com/u/3306017473,"#肖战# xz #肖战吹蜡烛#
舞台上需要自信,但无论台上是否有即兴的火花、是否可以有状态的爆发,台下都需要不断地练习。只有对自己在舞台上要做什么有十足的把握,才能创造出更好的舞台感觉
——肖战
@X玖少年团肖战DAYTOY
cr.L东方卫视我们的歌的微博视频",10月6日 00:46
29,https://weibo.com/reginawq?refer_flag=0000015010_&from=feed&loc=nickname,路过小面的户籍所在地，这凉面的口感巴适滴很。,今天 13:30
30,https://weibo.com/esteelauder,祝雅诗兰黛亚太区彩妆及香氛代言人@X玖少年团肖战DAYTOY 生日快乐！,10月5日 23:59
31,https://weibo.com/u/3054324425,#愿君安# 肖战新电影《愿君安》来了！不得不夸了，这个制作绝了！如名所愿，愿君安。 L知名美少女观众的微博视频,10月5日 21:29
32,https://weibo.com/u/6426442002,"#请肖战粉丝远离川美#！！！！！！！！！！
各位！！！！！这涂鸦墙上的明星都是虾🦐 画的吧！！！！！！！
请🦐 爬子不要拉别家下水！！！！",10月5日 23:37
33,https://weibo.com/u/6531408181,#陈浩用海绵宝宝配音为肖战庆生#我是陈浩老师和肖战双粉丝！！！今年海绵宝宝配音演员陈浩老师@海绵宝宝海绵陈浩 给美食纪录片《风味原产地甘肃》做了旁白，其中介绍的兰州甜百合就是肖战粉丝战疫助农购买的农产品@肖战粉丝公益项目组 ，而肖战@X玖少年团肖战DAYTOY 最喜欢的动漫人物海绵宝宝则是陈浩老师的配音，在今天肖战生日之际陈浩老师送上了祝福，爱有回应，缘分妙不可言#愿君安# L贵灯笼的微博视频,10月5日 22:23
34,https://weibo.com/u/5118223590,"#肖战# xz #肖战吹蜡烛#
试图吹仙女棒的肖战、被抹了一脸蛋糕的肖战
都太可爱啦
生日结束了，也希望你每天开开心心快快乐乐
@X玖少年团肖战DAYTOY L兔毛栽培队的微博视频",10月6日 00:16
35,https://weibo.com/u/5809913431,"哈哈哈哈哈哈哈哈哈哈哈可爱晕了
#肖战吹蜡烛#",10月5日 22:12
36,https://weibo.com/u/6828483542,删除tp和id，辛苦了 R你才屁股瓣的微博投票,10月6日 00:07
