,weibo_context,weibo_time,like_num,user
35,英语虾在看到最新@真果粒 dy小视频以后都好想#桃你欢心赞不绝口# ，纷纷沉醉于肖战@X玖少年团肖战DAYTOY 那身穿白衬衫的清爽和迷人的微笑里～对国内虾表示羡慕不已，不仅好想赶紧买到#肖战代言真果粒#品尝， 还盼望@真果粒 打开海外市场八月真是令人欣喜的月份啊～九 ...展开全文c,8月31日 19:53,3377,0.0
36,O今天我升级为VIP2了,8月31日 02:14,523,0.0
37,#肖战七夕快乐# 七夕情人节 韩国虾也沐浴在物料的海洋啊🌊战战@X玖少年团肖战DAYTOY 说过希望大家先过好自己的生活，韩国虾仁感叹要先有肖战的“美男疗法”才能克服困难过好三次元呢️～？韩国虾看到#肖战七夕自拍# 以后都哭唧唧地说被治愈了～当然还有必不可少的? ...展开全文c,8月28日 11:13,8465,0.0
38,"#肖战七夕快乐##七夕让全世界知道肖战的好#
被战战物料围绕的英文虾，越来越会🌈啦～天下虾虾🦐是一家～看到关于肖战@X玖少年团肖战DAYTOY 七夕情人节的更新后，开心兴奋之余，也纷纷祝愿战战七夕快乐❤一起来康康海外🦐️是如何度过这个物料丰富的“虾圈新年”的吧～

--- ...展开全文c",8月27日 11:51,4670,0.0
39,"#肖战七夕快乐# #七夕让全世界知道肖战的好#
来自海内外小飞侠的105份爱意！整个视频的设计，插图，语音全部由海内外的小飞侠亲自制作，看完真的超级感动！有视频越往后看，还能发现很多平时很少接触到的国家的粉丝，即使身在海外，他们对你@X玖少年团肖战DAYTOY 的爱意却比大海还深 ...展开全文c",8月25日 13:17,31125,0.0
40,"肖战超话#肖战七夕快乐# xz#肖战roseonly品牌代言人#
七夕是一个关于阻隔、等待和爱的节日～时间、空间、语言构建的距离犹如银河🌌 ，似乎都让深情无法诉说，值此佳节，虾粮海外转运站以中，英、日、韩、法、德、西班牙、俄、印尼语，祖鲁语十种语言搭建鹊桥，许愿肖战平安喜乐，祝 ...展开全文c",8月25日 10:05,33493,0.0
41,"肖战超话#日常见肖战#xz#肖战吃北京小吃#
一份特别的虾粮～～该如何称呼她们呢～海外华虾？虾华？虾滑？这是一群远在海外但是和我们使用同一种语言的虾虾，工作室的“加餐”日常，对于她们同样是惊喜～比起要等翻译的外国虾，懂中文原来是这么大的优势呢~七夕前夜让我们看看隔着银河思 ...展开全文c",8月25日 00:00,5858,0.0
42,"#日常见肖战##肖战吃北京小吃#
工作室的“加餐”日常虽然新的甜点又来了，但英语虾对于我们美食博主肖先生的反馈还未停止，让人惊叹的是原本以为潇潇洒不羁的英语虾，也注意到了肖战@X玖少年团肖战DAYTOY  的手指变化，忽然感受到了英语虾的温柔～肖战超话

------
虾粮 ...展开全文c",8月23日 18:50,4118,0.0
43,"#肖战吃北京小吃# #日常见肖战#肖战超话
“虾粮海外转运站“youtube账号正式启动！现已将工作室发布的视频翻译成英语、法语、韩语字幕上传了youtube账号，西班牙语，日语，德语等语言也即将上线，请身在海外的粉丝们多多关注多多宣传！愿更多的人去了解他 ...展开全文c",8月23日 00:49,13862,0.0
44,"#日常见肖战# #肖战喝豆汁的反应#
您的吃播光盘战上线啦！樱花虾们纷纷表示战战吃东西“太可爱”“太萌”“太帅了”，并对战战品尝的小吃表示好奇，有些跃跃欲试，这是把我们大中华的美食安利出国了吗？战战@X玖少年团肖战DAYTOY 的魅力无法阻挡啊下面让我们来看看樱 ...展开全文c",8月23日 00:11,6299,0.0
45,"奔波一天身体能量告急，灵魂疲惫倦怠，何必苦等入夜后的狂欢？
百威携手7-Eleven，打造首家夜店风便利店，电力补给专享场登录广州。玩趣聚集，超燃开燥，为身体与灵魂随时充电，制霸朋友圈没商量。
即刻前往体验新玩法，“电力”满格才能放肆嗨！",11月14日 12:52,3678,1.0
46,"#TGIF# 终于到了周五，酒水就位，音浪加强，请暂别工作，直奔狂欢派对现场玩野！
派对动物成群结伴，摆脱束缚，撕掉标签，唤醒最原始的野性，随音乐尽情摆动，疯玩到天亮！
提前了解百威轰趴动物世界，看看你想扮演哪个派对动物？评论区留言，我们一起尽情玩野！
#无百威 不轰趴#",11月13日 17:00,2620,1.0
47,"狂欢已经进入倒计时！速速来抄个作业吧！
越是选择多，越要回归初心做自己！就像 #天生就「耀」# 的 百威魄斯 小「耀」瓶，用炽热色彩“印刻”你的初心，燃启你的热情！#1起挺你尽情燃#

与他一起点燃心中炽热：O【双11预售】百威Pulse魄斯啤酒定制268ml*12...",11月10日 12:30,122461,1.0
48,"大家好，这个双十一来天猫百威啤酒官方旗舰店，品尝加入100%果汁的全新百威ME3果啤，跟@X玖少年团肖战DAYTOY 一起感知这不受定义、规则之外的美好。#百威ME3代言人肖战#
与百威共赴 #天猫美食大牌日# 盛典吧！O【双11加购】百威啤酒ME3果啤真的很迷270ml*1... L百威啤酒的微博视频",11月8日 18:00,160290,1.0
49,"可A可甜，百变迷人。
当微醺气泡碰撞100%果汁，绽放出百威ME3的清甜口感，
不标明口味，不受定义，这规则之外的美好，和@X玖少年团肖战DAYTOY 一起来感知。
#百威ME3代言人肖战# #ME3真的很迷#
即刻入手百威ME3，获得肖战签名高颜值吸管，欢迎入迷！
O【双11加购】百威啤酒ME3果啤真的很迷270ml*1...",11月4日 10:05,1047153,1.0
50,"嘘！今夜什么在蠢蠢欲动，
异变的理性，心中的猛鬼...

等等，手里的啤酒不衬你血红的唇色？
百威给你来点不一样的味道。
猛鬼酒馆，6款万圣特调饮品，用血腥外观让你在家也能感受万圣的恐怖氛围。
...展开全文c",10月31日 17:00,4102,1.0
51,"百威冰啤顺滑来袭！冰晶工艺，清冽纯爽。
现已重磅登陆美宜佳各大门店，
沁爽入魂，陪你尽兴到底！
@美宜佳会员",10月29日 18:03,1082,1.0
52,"一次次的狂欢，一次次的选择，都在呈现心中的那份真实，如百威魄斯小「耀」瓶一般，历经直火，方才酿就#天生就「耀」# 的琥珀酒体。随它在颅内燃启高潮，尽情释放！#1起挺你尽情燃#

即刻加载@X玖少年团肖战DAYTOY  高燃装备：O【双11预售】百威Pulse魄斯啤酒定制268ml*12...  L百威啤酒的微博视频",10月27日 19:58,147210,1.0
53,"#新潮趣玩天天开新#
百威限量嗨聚罐入选 #京东小魔方#
新潮趣玩榜单之【京东精选】TOP3！
顺滑清爽，经典加量，嗨聚时刻才能畅快举杯！
10月30日晚，来新潮玩趣开新大会直播，和百威一起开燥！O网页链接 @京东小魔方",10月26日 18:35,863,1.0
54,"# 百威FREAKOUT#【BLOOD MARKET血腥黑市】即将开市，全国最燥的#万圣节#音乐狂欢派对重磅回归倒计时！
百威携手@-SHFT- 释放心中野性，血腥风暴席卷全国，超强DJ阵容现身炸场燃燥不停，各路“邪恶生灵”齐齐现身，尖叫声中点燃血色万圣！
上海站主场最强心跳现场，全新“爆酷”舞台，专属定制版视觉秀 ...展开全文c",10月23日 18:38,1119,1.0
55,"午夜钟声响起，游走人间的“邪恶生灵”们受到召唤，等待现身人间大快朵颐。
一年一度的 #百威FREAKOUT# 血色万圣狂欢，这一回，你是猎人还是猎物？ L百威啤酒的微博视频",10月21日 22:00,1276,1.0
56,"百威准备好了！尽情燃吧！#双11来了# 放肆开燥，没我怎么行？
@天猫 #1起挺你尽情生活#
上O百威啤酒官方旗舰店 即刻解锁更多惊喜！",10月21日 17:40,4267,1.0
57,"剧透：怎样狂欢才够燃？当然要有#天生就「耀」#的小「耀」箱!
到底里面有什么装备？晚上18：00由 @X玖少年团肖战DAYTOY 亲自揭晓！#1起挺你尽情燃# L百威啤酒的微博视频",10月20日 12:18,272879,1.0
58,"怎样成为一个高玩？
当然是要挑战王者，才够燃！
赛季正酣，与@梅西LeoMessi10 一起敬王者，敬热爱！
10/18 20：30 百威京东超燃玩家直播，梅西王者脚印礼盒和梅西签名铝罐重磅来袭，更有机会前往巴塞罗那与球王面对面！
准备进场：O网页链接 L百威啤酒的微博视频",10月15日 18:00,8447,1.0
59,"新潮魅力蔓延#GQ Style颠覆派对#之外，百威ME3“小迷酒”爆款现身迷幻空间，音浪不减感官全开，让@董思怡_ @PB徐圣恩 @Kc左元杰 @张洢豪 纷纷入迷。
玩转复古蒸汽波浪潮，颠覆传统之外的美好，拿起百威ME3果啤亲自感受！#ME3真的很迷#",10月12日 23:00,901,1.0
60,"上海时装周风尚重启，与百威ME3果啤一同坠入#GQ Style颠覆派对#，迷幻魅力爆表，入迷鬼马颠覆。
跟随@秦奋Roi @龚俊Simon @费启鸣 的脚步，超越传统想象，感知不在定义之内的美好。
迷幻之夜入口已限时开启，欢迎即刻入迷。#ME3真的很迷#",10月12日 21:46,1447,1.0
61,"@X玖少年团肖战DAYTOY 愿每一个怀抱赤诚之心的你，可以永葆初心，如#天生就「耀」# 的百威魄斯小「耀」瓶一般，做最真实最闪耀的自己！

#肖战1005生日快乐# L百威啤酒的微博视频",10月5日 22:05,483204,1.0
62,"加班、开会，连轴转，
吃着外卖想念家乡美食，
留给父母的，却只剩消息框里的“在忙”。
追逐远方的时候，你是否把家也变成了远方。
这个#中秋节#，让无论何种职业，不管身在何处的“你”，都能带着想念出发，奔赴每一场团圆。
因为有“你”在，就是团圆。#久违的相聚，此刻要有你#",9月30日 10:00,2115,1.0
63,"百威ME3，一吸入迷。
我迷啦~你迷了吗？
#ME3真的很迷# #天猫美食大牌日#
今晚20：00 - 23：59 锁定薇娅直播间，即刻开启迷幻之旅
N【双11预售】百威啤酒ME3果啤真的很迷270ml*1... L百威啤酒的微博视频",9月24日 18:08,338,1.0
64,"喵~妙妙妙~
连小猫咪都喵喵称妙的百威ME3好妙~
规则之外的美妙，亲自感受才能知道。
#ME3真的很迷# #天猫美食大牌日# L百威啤酒的微博视频",9月22日 20:00,7946,1.0
65,"「百威ME3·迷之新欢」
“我就知道，你喜欢尝鲜。”
“旧的，也很有味道。”
迷一样的百威ME3，迷之暧昧朦胧的关系。
敢于尝鲜，为爱保鲜。你记忆里最难忘的味道是什么？
#ME3真的很迷# L百威啤酒的微博视频",9月22日 14:00,423,1.0
