,user_link,context,time,like_num
40,https://weibo.com/6769826444?refer_flag=1001030103_,"#川美#
哈哈哈哈哈哈哈我要笑死了，过个生日，因为粉丝的骚操作又被狠狠骂了一次，头一次觉得肖战也挺可怜的(当然是开玩笑，肖战如果可怜，那今天被打扰的肖战考不上的川美和川美学生，今天被热搜荼毒了一天的人，还有之前🦐 祸害过的人，只能用惨上加惨来形容了)
附上之前去重庆玩的时候拍的川美和 展开全文c",10月06日 00:59,
41,https://weibo.com/6153086249?refer_flag=1001030103_,"#肖战# xz #肖战正能量艺人#
余生很长，但是可以陪你一起走下去对我而言便是最大的满足！彼此保护从来不是说说而已！一起变成更好的人吧！@X玖少年团肖战DAYTOY",10月06日 00:59,
42,https://weibo.com/6200995015?refer_flag=1001030103_,肖战#肖战吹蜡烛# 现在已经是1006了，但我的时间仿佛停在了1005，我爱你@X玖少年团肖战DAYTOY,10月06日 00:59,1
43,https://weibo.com/6665842331?refer_flag=1001030103_,#肖战吹蜡烛#每一次见面，都会看到你明显的改变。真好，你依然是你，而我们，永远支持你！,10月06日 00:59,
44,https://weibo.com/7060636864?refer_flag=1001030103_,"cnmd肖战生日比国庆还重要是吗？
招人烦的gdx 滚吧啊啊啊啊啊
恶心狗 艹tm的烦",10月06日 00:59,
45,https://weibo.com/2401243795?refer_flag=1001030103_,#人人公益节# #肖战爱心图书馆#赠人玫瑰，手有余香。我在“肖战爱心图书馆”项目捐款成功！愿我和@小赞今晚带我回家_ 让爱心传递。@扬帆计划http://t.cn/A6LeRm0U,10月06日 00:59,
46,https://weibo.com/2807796470?refer_flag=1001030103_,"反正就……
肖战一窝每次都可以在大家不怎么想理他的时候
整出点事儿
一次又一次把更多的人的愤怒点拉高
#肖战粉丝邪教式追星#
#抵制劣迹艺人肖战#",10月06日 00:59,6
47,https://weibo.com/5975269476?refer_flag=1001030103_,"看肖战粉洗好好笑啊。
咋地，那俩大字不是 肖 战 啊，你们没涂啊？抱歉啊这我没文化，难道那字是月站吗，谁叫月站，粉丝赶快出来道歉",10月06日 00:59,
48,https://weibo.com/7352599777?refer_flag=1001030103_,"#肖战# #肖战吹蜡烛#
蜡烛要烧到美味的蛋糕上了，赶紧吹吹，可是吹不灭，战战在怎么小室的视频和照片里的反差萌太好玩了",10月06日 00:59,
49,https://weibo.com/7241111942?refer_flag=1001030103_,#肖战吹蜡烛# 我爱你！你一定要开心快乐！身体健康！平安顺遂星途璀璨#肖战1005生日快乐#,10月06日 00:59,155
50,https://weibo.com/7307279029?refer_flag=1001030103_,"肖战#肖战正能量艺人# xz #肖战余生请多指教#
各位睡觉 晚安 好梦 GN",10月06日 00:59,2
51,https://weibo.com/7469576096?refer_flag=1001030103_,"#川美#肖战粉丝邪教团伙非法集会、破坏公物、扰民、围困川美校门,肖战粉丝应该被依法追究民事责任,川美和川美学生理应依法索赔，让违法者付出代价@中国反邪教",10月06日 00:59,
52,https://weibo.com/1846959563?refer_flag=1001030103_,菇倒王子真的……之前因为他转唯我就取关了，这次他给肖战画的生贺让我心中久久难以平静……佩服！！！,10月06日 00:59,
53,https://weibo.com/7387646897?refer_flag=1001030103_,"我为@X玖少年团肖战DAYTOY 贡献星光，疯狂艾特@腾讯视频,快送我去#星光大赏# 现场为爱豆打call！ O星光大赏星光能量榜",10月06日 00:59,
54,https://weibo.com/6722821338?refer_flag=1001030103_,@X玖少年团肖战DAYTOY 我在#明星势力榜#内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第5位,10月06日 00:59,
55,https://weibo.com/5936053067?refer_flag=1001030103_,我刚刚在#星光大赏# 为 @X玖少年团肖战DAYTOY 贡献星光，一起@腾讯视频 送我去现场为爱豆打call！ O星光大赏星光能量榜,10月06日 00:59,
56,https://weibo.com/6317894563?refer_flag=1001030103_,"#肖战吹蜡烛#
拍手拍的好憨哈哈哈哈哈哈可爱极了，就是永远都能从他身上看到阳光和纯真",10月06日 00:59,
57,https://weibo.com/7243960432?refer_flag=1001030103_,#人人公益节# #肖战爱心图书馆#我在“肖战爱心图书馆”项目捐款成功！希望我小小的力量和@·实力战将· 一起，在大大的世界里温暖更多人。@扬帆计划 肖战爱心图书馆,10月06日 00:59,
